"DCF_Region","Year","Demographic","Out_of_State","Type of Placement","tot_Value","Measure Type","Variable"
"Other","SFY 2004-2005","18 Years and Over","In State","Relative Foster Care",0,"Number","Children in Placement"
"Other","SFY 2004-2005","18 Years and Over","In State","Residential Treatment Center",0,"Number","Children in Placement"
"Other","SFY 2004-2005","18 Years and Over","In State","Shelter",0,"Number","Children in Placement"
"Other","SFY 2004-2005","18 Years and Over","In State","Solnit Center",0,"Number","Children in Placement"
"Other","SFY 2004-2005","18 Years and Over","In State","Special Study",0,"Number","Children in Placement"
"Other","SFY 2004-2005","18 Years and Over","In State","Therapeutic Foster Care",0,"Number","Children in Placement"
"Other","SFY 2004-2005","18 Years and Over","In State","Total",5,"Number","Children in Placement"
"Other","SFY 2004-2005","18 Years and Over","Out of State","Connecticut Juvenile Training School",-6666,"Number","Children in Placement"
"Other","SFY 2004-2005","18 Years and Over","Out of State","Foster Care",-6666,"Number","Children in Placement"
"Other","SFY 2004-2005","18 Years and Over","Out of State","Group Home",-6666,"Number","Children in Placement"
"Other","SFY 2004-2005","18 Years and Over","Out of State","High Meadows",-6666,"Number","Children in Placement"
"Other","SFY 2004-2005","18 Years and Over","Out of State","Independent Living",-6666,"Number","Children in Placement"
"Other","SFY 2004-2005","18 Years and Over","Out of State","Medical or Psychiatric Hospital Placement",-6666,"Number","Children in Placement"
"Other","SFY 2004-2005","18 Years and Over","Out of State","PDC or Safe Home",-6666,"Number","Children in Placement"
"Other","SFY 2004-2005","18 Years and Over","Out of State","Relative Foster Care",-6666,"Number","Children in Placement"
"Other","SFY 2004-2005","18 Years and Over","Out of State","Residential Treatment Center",-6666,"Number","Children in Placement"
"Other","SFY 2004-2005","18 Years and Over","Out of State","Shelter",-6666,"Number","Children in Placement"
"Other","SFY 2004-2005","18 Years and Over","Out of State","Solnit Center",-6666,"Number","Children in Placement"
"Other","SFY 2004-2005","18 Years and Over","Out of State","Special Study",-6666,"Number","Children in Placement"
"Other","SFY 2004-2005","18 Years and Over","Out of State","Therapeutic Foster Care",-6666,"Number","Children in Placement"
"Other","SFY 2004-2005","18 Years and Over","Out of State","Total",-6666,"Number","Children in Placement"
"Other","SFY 2004-2005","4 to 6 Years","In State","Connecticut Juvenile Training School",0,"Number","Children in Placement"
"Other","SFY 2004-2005","4 to 6 Years","In State","Foster Care",0,"Number","Children in Placement"
"Other","SFY 2004-2005","4 to 6 Years","In State","Group Home",0,"Number","Children in Placement"
"Other","SFY 2004-2005","4 to 6 Years","In State","High Meadows",0,"Number","Children in Placement"
"Other","SFY 2004-2005","4 to 6 Years","In State","Independent Living",0,"Number","Children in Placement"
"Other","SFY 2004-2005","4 to 6 Years","In State","Medical or Psychiatric Hospital Placement",0,"Number","Children in Placement"
"Other","SFY 2004-2005","4 to 6 Years","In State","PDC or Safe Home",0,"Number","Children in Placement"
"Other","SFY 2004-2005","4 to 6 Years","In State","Relative Foster Care",1,"Number","Children in Placement"
"Other","SFY 2004-2005","4 to 6 Years","In State","Residential Treatment Center",0,"Number","Children in Placement"
"Other","SFY 2004-2005","4 to 6 Years","In State","Shelter",0,"Number","Children in Placement"
"Other","SFY 2004-2005","4 to 6 Years","In State","Solnit Center",0,"Number","Children in Placement"
"Other","SFY 2004-2005","4 to 6 Years","In State","Special Study",0,"Number","Children in Placement"
"Other","SFY 2004-2005","4 to 6 Years","In State","Therapeutic Foster Care",0,"Number","Children in Placement"
"Other","SFY 2004-2005","4 to 6 Years","In State","Total",1,"Number","Children in Placement"
"Other","SFY 2004-2005","4 to 6 Years","Out of State","Connecticut Juvenile Training School",-6666,"Number","Children in Placement"
"Other","SFY 2004-2005","4 to 6 Years","Out of State","Foster Care",-6666,"Number","Children in Placement"
"Other","SFY 2004-2005","4 to 6 Years","Out of State","Group Home",-6666,"Number","Children in Placement"
"Other","SFY 2004-2005","4 to 6 Years","Out of State","High Meadows",-6666,"Number","Children in Placement"
"Other","SFY 2004-2005","4 to 6 Years","Out of State","Independent Living",-6666,"Number","Children in Placement"
"Other","SFY 2004-2005","4 to 6 Years","Out of State","Medical or Psychiatric Hospital Placement",-6666,"Number","Children in Placement"
"Other","SFY 2004-2005","4 to 6 Years","Out of State","PDC or Safe Home",-6666,"Number","Children in Placement"
"Other","SFY 2004-2005","4 to 6 Years","Out of State","Relative Foster Care",-6666,"Number","Children in Placement"
"Other","SFY 2004-2005","4 to 6 Years","Out of State","Residential Treatment Center",-6666,"Number","Children in Placement"
"Other","SFY 2004-2005","4 to 6 Years","Out of State","Shelter",-6666,"Number","Children in Placement"
"Other","SFY 2004-2005","4 to 6 Years","Out of State","Solnit Center",-6666,"Number","Children in Placement"
"Other","SFY 2004-2005","4 to 6 Years","Out of State","Special Study",-6666,"Number","Children in Placement"
"Other","SFY 2004-2005","4 to 6 Years","Out of State","Therapeutic Foster Care",-6666,"Number","Children in Placement"
"Other","SFY 2004-2005","4 to 6 Years","Out of State","Total",-6666,"Number","Children in Placement"
"Other","SFY 2004-2005","7 to 12 Years","In State","Connecticut Juvenile Training School",0,"Number","Children in Placement"
"Other","SFY 2004-2005","7 to 12 Years","In State","Foster Care",2,"Number","Children in Placement"
"Other","SFY 2004-2005","7 to 12 Years","In State","Group Home",0,"Number","Children in Placement"
"Other","SFY 2004-2005","7 to 12 Years","In State","High Meadows",0,"Number","Children in Placement"
"Other","SFY 2004-2005","7 to 12 Years","In State","Independent Living",0,"Number","Children in Placement"
"Other","SFY 2004-2005","7 to 12 Years","In State","Medical or Psychiatric Hospital Placement",0,"Number","Children in Placement"
"Other","SFY 2004-2005","7 to 12 Years","In State","PDC or Safe Home",1,"Number","Children in Placement"
"Other","SFY 2004-2005","7 to 12 Years","In State","Relative Foster Care",0,"Number","Children in Placement"
"Other","SFY 2004-2005","7 to 12 Years","In State","Residential Treatment Center",3,"Number","Children in Placement"
"Other","SFY 2004-2005","7 to 12 Years","In State","Shelter",0,"Number","Children in Placement"
"Other","SFY 2004-2005","7 to 12 Years","In State","Solnit Center",0,"Number","Children in Placement"
"Other","SFY 2004-2005","7 to 12 Years","In State","Special Study",0,"Number","Children in Placement"
"Other","SFY 2004-2005","7 to 12 Years","In State","Therapeutic Foster Care",0,"Number","Children in Placement"
"Other","SFY 2004-2005","7 to 12 Years","In State","Total",6,"Number","Children in Placement"
"Other","SFY 2004-2005","7 to 12 Years","Out of State","Connecticut Juvenile Training School",0,"Number","Children in Placement"
"Other","SFY 2004-2005","7 to 12 Years","Out of State","Foster Care",0,"Number","Children in Placement"
"Other","SFY 2004-2005","7 to 12 Years","Out of State","Group Home",0,"Number","Children in Placement"
"Other","SFY 2004-2005","7 to 12 Years","Out of State","High Meadows",0,"Number","Children in Placement"
"Other","SFY 2004-2005","7 to 12 Years","Out of State","Independent Living",0,"Number","Children in Placement"
"Other","SFY 2004-2005","7 to 12 Years","Out of State","Medical or Psychiatric Hospital Placement",0,"Number","Children in Placement"
"Other","SFY 2004-2005","7 to 12 Years","Out of State","PDC or Safe Home",0,"Number","Children in Placement"
"Other","SFY 2004-2005","7 to 12 Years","Out of State","Relative Foster Care",0,"Number","Children in Placement"
"Other","SFY 2004-2005","7 to 12 Years","Out of State","Residential Treatment Center",1,"Number","Children in Placement"
"Other","SFY 2004-2005","7 to 12 Years","Out of State","Shelter",0,"Number","Children in Placement"
"Other","SFY 2004-2005","7 to 12 Years","Out of State","Solnit Center",0,"Number","Children in Placement"
"Other","SFY 2004-2005","7 to 12 Years","Out of State","Special Study",0,"Number","Children in Placement"
"Other","SFY 2004-2005","7 to 12 Years","Out of State","Therapeutic Foster Care",0,"Number","Children in Placement"
"Other","SFY 2004-2005","7 to 12 Years","Out of State","Total",1,"Number","Children in Placement"
"Other","SFY 2004-2005","Total","In State","Connecticut Juvenile Training School",25,"Number","Children in Placement"
"Other","SFY 2004-2005","Total","In State","Foster Care",8,"Number","Children in Placement"
"Other","SFY 2004-2005","Total","In State","Group Home",4,"Number","Children in Placement"
"Other","SFY 2004-2005","Total","In State","High Meadows",0,"Number","Children in Placement"
"Other","SFY 2004-2005","Total","In State","Independent Living",0,"Number","Children in Placement"
"Other","SFY 2004-2005","Total","In State","Medical or Psychiatric Hospital Placement",0,"Number","Children in Placement"
"Other","SFY 2004-2005","Total","In State","PDC or Safe Home",1,"Number","Children in Placement"
"Other","SFY 2004-2005","Total","In State","Relative Foster Care",2,"Number","Children in Placement"
"Other","SFY 2004-2005","Total","In State","Residential Treatment Center",142,"Number","Children in Placement"
"Other","SFY 2004-2005","Total","In State","Shelter",0,"Number","Children in Placement"
"Other","SFY 2004-2005","Total","In State","Solnit Center",1,"Number","Children in Placement"
"Other","SFY 2004-2005","Total","In State","Special Study",0,"Number","Children in Placement"
"Other","SFY 2004-2005","Total","In State","Therapeutic Foster Care",0,"Number","Children in Placement"
"Other","SFY 2004-2005","Total","In State","Total",183,"Number","Children in Placement"
"Other","SFY 2004-2005","Total","Out of State","Connecticut Juvenile Training School",0,"Number","Children in Placement"
"Other","SFY 2004-2005","Total","Out of State","Foster Care",0,"Number","Children in Placement"
"Other","SFY 2004-2005","Total","Out of State","Group Home",2,"Number","Children in Placement"
"Other","SFY 2004-2005","Total","Out of State","High Meadows",0,"Number","Children in Placement"
"Other","SFY 2004-2005","Total","Out of State","Independent Living",0,"Number","Children in Placement"
"Other","SFY 2004-2005","Total","Out of State","Medical or Psychiatric Hospital Placement",0,"Number","Children in Placement"
"Other","SFY 2004-2005","Total","Out of State","PDC or Safe Home",0,"Number","Children in Placement"
"Other","SFY 2004-2005","Total","Out of State","Relative Foster Care",0,"Number","Children in Placement"
"Other","SFY 2004-2005","Total","Out of State","Residential Treatment Center",36,"Number","Children in Placement"
"Other","SFY 2004-2005","Total","Out of State","Shelter",0,"Number","Children in Placement"
"Other","SFY 2004-2005","Total","Out of State","Solnit Center",0,"Number","Children in Placement"
"Other","SFY 2004-2005","Total","Out of State","Special Study",0,"Number","Children in Placement"
"Other","SFY 2004-2005","Total","Out of State","Therapeutic Foster Care",0,"Number","Children in Placement"
"Other","SFY 2004-2005","Total","Out of State","Total",38,"Number","Children in Placement"
"Other","SFY 2004-2005","Unknown","In State","Connecticut Juvenile Training School",-6666,"Number","Children in Placement"
"Other","SFY 2004-2005","Unknown","In State","Foster Care",-6666,"Number","Children in Placement"
"Other","SFY 2004-2005","Unknown","In State","Group Home",-6666,"Number","Children in Placement"
"Other","SFY 2004-2005","Unknown","In State","High Meadows",-6666,"Number","Children in Placement"
"Other","SFY 2004-2005","Unknown","In State","Independent Living",-6666,"Number","Children in Placement"
"Other","SFY 2004-2005","Unknown","In State","Medical or Psychiatric Hospital Placement",-6666,"Number","Children in Placement"
"Other","SFY 2004-2005","Unknown","In State","PDC or Safe Home",-6666,"Number","Children in Placement"
"Other","SFY 2004-2005","Unknown","In State","Relative Foster Care",-6666,"Number","Children in Placement"
"Other","SFY 2004-2005","Unknown","In State","Residential Treatment Center",-6666,"Number","Children in Placement"
"Other","SFY 2004-2005","Unknown","In State","Shelter",-6666,"Number","Children in Placement"
"Other","SFY 2004-2005","Unknown","In State","Solnit Center",-6666,"Number","Children in Placement"
"Other","SFY 2004-2005","Unknown","In State","Special Study",-6666,"Number","Children in Placement"
"Other","SFY 2004-2005","Unknown","In State","Therapeutic Foster Care",-6666,"Number","Children in Placement"
"Other","SFY 2004-2005","Unknown","In State","Total",-6666,"Number","Children in Placement"
"Other","SFY 2004-2005","Unknown","Out of State","Connecticut Juvenile Training School",-6666,"Number","Children in Placement"
"Other","SFY 2004-2005","Unknown","Out of State","Foster Care",-6666,"Number","Children in Placement"
"Other","SFY 2004-2005","Unknown","Out of State","Group Home",-6666,"Number","Children in Placement"
"Other","SFY 2004-2005","Unknown","Out of State","High Meadows",-6666,"Number","Children in Placement"
"Other","SFY 2004-2005","Unknown","Out of State","Independent Living",-6666,"Number","Children in Placement"
"Other","SFY 2004-2005","Unknown","Out of State","Medical or Psychiatric Hospital Placement",-6666,"Number","Children in Placement"
"Other","SFY 2004-2005","Unknown","Out of State","PDC or Safe Home",-6666,"Number","Children in Placement"
"Other","SFY 2004-2005","Unknown","Out of State","Relative Foster Care",-6666,"Number","Children in Placement"
"Other","SFY 2004-2005","Unknown","Out of State","Residential Treatment Center",-6666,"Number","Children in Placement"
"Other","SFY 2004-2005","Unknown","Out of State","Shelter",-6666,"Number","Children in Placement"
"Other","SFY 2004-2005","Unknown","Out of State","Solnit Center",-6666,"Number","Children in Placement"
"Other","SFY 2004-2005","Unknown","Out of State","Special Study",-6666,"Number","Children in Placement"
"Other","SFY 2004-2005","Unknown","Out of State","Therapeutic Foster Care",-6666,"Number","Children in Placement"
"Other","SFY 2004-2005","Unknown","Out of State","Total",-6666,"Number","Children in Placement"
"Other","SFY 2005-2006","0 to 3 Years","In State","Connecticut Juvenile Training School",0,"Number","Children in Placement"
"Other","SFY 2005-2006","0 to 3 Years","In State","Foster Care",2,"Number","Children in Placement"
"Other","SFY 2005-2006","0 to 3 Years","In State","Group Home",0,"Number","Children in Placement"
"Other","SFY 2005-2006","0 to 3 Years","In State","High Meadows",0,"Number","Children in Placement"
"Other","SFY 2005-2006","0 to 3 Years","In State","Independent Living",0,"Number","Children in Placement"
"Other","SFY 2005-2006","0 to 3 Years","In State","Medical or Psychiatric Hospital Placement",0,"Number","Children in Placement"
"Other","SFY 2005-2006","0 to 3 Years","In State","PDC or Safe Home",0,"Number","Children in Placement"
"Other","SFY 2005-2006","0 to 3 Years","In State","Relative Foster Care",2,"Number","Children in Placement"
"Other","SFY 2005-2006","0 to 3 Years","In State","Residential Treatment Center",0,"Number","Children in Placement"
"Other","SFY 2005-2006","0 to 3 Years","In State","Shelter",0,"Number","Children in Placement"
"Other","SFY 2005-2006","0 to 3 Years","In State","Solnit Center",0,"Number","Children in Placement"
"Other","SFY 2005-2006","0 to 3 Years","In State","Special Study",0,"Number","Children in Placement"
"Other","SFY 2005-2006","0 to 3 Years","In State","Therapeutic Foster Care",0,"Number","Children in Placement"
"Other","SFY 2005-2006","0 to 3 Years","In State","Total",4,"Number","Children in Placement"
"Other","SFY 2005-2006","0 to 3 Years","Out of State","Connecticut Juvenile Training School",-6666,"Number","Children in Placement"
"Other","SFY 2005-2006","0 to 3 Years","Out of State","Foster Care",-6666,"Number","Children in Placement"
"Other","SFY 2005-2006","0 to 3 Years","Out of State","Group Home",-6666,"Number","Children in Placement"
"Other","SFY 2005-2006","0 to 3 Years","Out of State","High Meadows",-6666,"Number","Children in Placement"
"Other","SFY 2005-2006","0 to 3 Years","Out of State","Independent Living",-6666,"Number","Children in Placement"
"Other","SFY 2005-2006","0 to 3 Years","Out of State","Medical or Psychiatric Hospital Placement",-6666,"Number","Children in Placement"
"Other","SFY 2005-2006","0 to 3 Years","Out of State","PDC or Safe Home",-6666,"Number","Children in Placement"
"Other","SFY 2005-2006","0 to 3 Years","Out of State","Relative Foster Care",-6666,"Number","Children in Placement"
"Other","SFY 2005-2006","0 to 3 Years","Out of State","Residential Treatment Center",-6666,"Number","Children in Placement"
"Other","SFY 2005-2006","0 to 3 Years","Out of State","Shelter",-6666,"Number","Children in Placement"
"Other","SFY 2005-2006","0 to 3 Years","Out of State","Solnit Center",-6666,"Number","Children in Placement"
"Other","SFY 2005-2006","0 to 3 Years","Out of State","Special Study",-6666,"Number","Children in Placement"
"Other","SFY 2005-2006","0 to 3 Years","Out of State","Therapeutic Foster Care",-6666,"Number","Children in Placement"
"Other","SFY 2005-2006","0 to 3 Years","Out of State","Total",-6666,"Number","Children in Placement"
"Other","SFY 2005-2006","13 to 17 Years","In State","Connecticut Juvenile Training School",51,"Number","Children in Placement"
"Other","SFY 2005-2006","13 to 17 Years","In State","Foster Care",1,"Number","Children in Placement"
"Other","SFY 2005-2006","13 to 17 Years","In State","Group Home",7,"Number","Children in Placement"
"Other","SFY 2005-2006","13 to 17 Years","In State","High Meadows",0,"Number","Children in Placement"
"Other","SFY 2005-2006","13 to 17 Years","In State","Independent Living",0,"Number","Children in Placement"
"Other","SFY 2005-2006","13 to 17 Years","In State","Medical or Psychiatric Hospital Placement",0,"Number","Children in Placement"
"Other","SFY 2005-2006","13 to 17 Years","In State","PDC or Safe Home",0,"Number","Children in Placement"
"Other","SFY 2005-2006","13 to 17 Years","In State","Relative Foster Care",1,"Number","Children in Placement"
"Other","SFY 2005-2006","13 to 17 Years","In State","Residential Treatment Center",115,"Number","Children in Placement"
"Other","SFY 2005-2006","13 to 17 Years","In State","Shelter",0,"Number","Children in Placement"
"Other","SFY 2005-2006","13 to 17 Years","In State","Solnit Center",1,"Number","Children in Placement"
"Other","SFY 2005-2006","13 to 17 Years","In State","Special Study",0,"Number","Children in Placement"
"Other","SFY 2005-2006","13 to 17 Years","In State","Therapeutic Foster Care",0,"Number","Children in Placement"
"Other","SFY 2005-2006","13 to 17 Years","In State","Total",176,"Number","Children in Placement"
"Other","SFY 2005-2006","13 to 17 Years","Out of State","Connecticut Juvenile Training School",0,"Number","Children in Placement"
"Other","SFY 2005-2006","13 to 17 Years","Out of State","Foster Care",0,"Number","Children in Placement"
"Other","SFY 2005-2006","13 to 17 Years","Out of State","Group Home",0,"Number","Children in Placement"
"Other","SFY 2005-2006","13 to 17 Years","Out of State","High Meadows",0,"Number","Children in Placement"
"Other","SFY 2005-2006","13 to 17 Years","Out of State","Independent Living",0,"Number","Children in Placement"
"Other","SFY 2005-2006","13 to 17 Years","Out of State","Medical or Psychiatric Hospital Placement",0,"Number","Children in Placement"
"Other","SFY 2005-2006","13 to 17 Years","Out of State","PDC or Safe Home",0,"Number","Children in Placement"
"Other","SFY 2005-2006","13 to 17 Years","Out of State","Relative Foster Care",0,"Number","Children in Placement"
"Other","SFY 2005-2006","13 to 17 Years","Out of State","Residential Treatment Center",10,"Number","Children in Placement"
"Other","SFY 2005-2006","13 to 17 Years","Out of State","Shelter",0,"Number","Children in Placement"
"Other","SFY 2005-2006","13 to 17 Years","Out of State","Solnit Center",0,"Number","Children in Placement"
"Other","SFY 2005-2006","13 to 17 Years","Out of State","Special Study",0,"Number","Children in Placement"
"Other","SFY 2005-2006","13 to 17 Years","Out of State","Therapeutic Foster Care",0,"Number","Children in Placement"
"Other","SFY 2005-2006","13 to 17 Years","Out of State","Total",10,"Number","Children in Placement"
"Other","SFY 2005-2006","18 Years and Over","In State","Connecticut Juvenile Training School",0,"Number","Children in Placement"
"Other","SFY 2005-2006","18 Years and Over","In State","Foster Care",1,"Number","Children in Placement"
"Other","SFY 2005-2006","18 Years and Over","In State","Group Home",0,"Number","Children in Placement"
"Other","SFY 2005-2006","18 Years and Over","In State","High Meadows",0,"Number","Children in Placement"
"Other","SFY 2005-2006","18 Years and Over","In State","Independent Living",0,"Number","Children in Placement"
"Other","SFY 2005-2006","18 Years and Over","In State","Medical or Psychiatric Hospital Placement",0,"Number","Children in Placement"
"Other","SFY 2005-2006","18 Years and Over","In State","PDC or Safe Home",0,"Number","Children in Placement"
"Other","SFY 2005-2006","18 Years and Over","In State","Relative Foster Care",0,"Number","Children in Placement"
"Other","SFY 2005-2006","18 Years and Over","In State","Residential Treatment Center",0,"Number","Children in Placement"
"Other","SFY 2005-2006","18 Years and Over","In State","Shelter",0,"Number","Children in Placement"
"Other","SFY 2005-2006","18 Years and Over","In State","Solnit Center",0,"Number","Children in Placement"
"Other","SFY 2005-2006","18 Years and Over","In State","Special Study",0,"Number","Children in Placement"
"Other","SFY 2005-2006","18 Years and Over","In State","Therapeutic Foster Care",0,"Number","Children in Placement"
"Other","SFY 2005-2006","18 Years and Over","In State","Total",1,"Number","Children in Placement"
"Other","SFY 2005-2006","18 Years and Over","Out of State","Connecticut Juvenile Training School",0,"Number","Children in Placement"
"Other","SFY 2005-2006","18 Years and Over","Out of State","Foster Care",0,"Number","Children in Placement"
"Other","SFY 2005-2006","18 Years and Over","Out of State","Group Home",0,"Number","Children in Placement"
"Other","SFY 2005-2006","18 Years and Over","Out of State","High Meadows",0,"Number","Children in Placement"
"Other","SFY 2005-2006","18 Years and Over","Out of State","Independent Living",0,"Number","Children in Placement"
"Other","SFY 2005-2006","18 Years and Over","Out of State","Medical or Psychiatric Hospital Placement",0,"Number","Children in Placement"
"Other","SFY 2005-2006","18 Years and Over","Out of State","PDC or Safe Home",0,"Number","Children in Placement"
"Other","SFY 2005-2006","18 Years and Over","Out of State","Relative Foster Care",0,"Number","Children in Placement"
"Other","SFY 2005-2006","18 Years and Over","Out of State","Residential Treatment Center",4,"Number","Children in Placement"
"Other","SFY 2005-2006","18 Years and Over","Out of State","Shelter",0,"Number","Children in Placement"
"Other","SFY 2005-2006","18 Years and Over","Out of State","Solnit Center",0,"Number","Children in Placement"
"Other","SFY 2005-2006","18 Years and Over","Out of State","Special Study",0,"Number","Children in Placement"
"Other","SFY 2005-2006","18 Years and Over","Out of State","Therapeutic Foster Care",0,"Number","Children in Placement"
"Other","SFY 2005-2006","18 Years and Over","Out of State","Total",4,"Number","Children in Placement"
"Other","SFY 2005-2006","4 to 6 Years","In State","Connecticut Juvenile Training School",0,"Number","Children in Placement"
"Other","SFY 2005-2006","4 to 6 Years","In State","Foster Care",1,"Number","Children in Placement"
"Other","SFY 2005-2006","4 to 6 Years","In State","Group Home",0,"Number","Children in Placement"
"Other","SFY 2005-2006","4 to 6 Years","In State","High Meadows",0,"Number","Children in Placement"
"Other","SFY 2005-2006","4 to 6 Years","In State","Independent Living",0,"Number","Children in Placement"
